;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;AdmUnitId
0;1;01;Schleswig-Holstein;Land;2910875;15;793319;1655762400000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;27253.6264868811;45737314116.8701;2881496.1295035;2587;747.438484991626;21757;1;747,4;1
1;2;02;Hamburg;Freie und Hansestadt;1852478;6;612388;1655762400000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;33057.7745052843;2089396054.82129;418800.187474072;2703;531.396324274836;9844;3;531,4;2
2;3;03;Niedersachsen;Land;8003421;9;2513163;1655762400000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;31401.1096005071;129983613598.973;4008988.2951652;9560;718.230366739423;57483;1;718,2;3
3;4;04;Bremen;Freie Hansestadt;680130;5;209549;1655762400000;04;4132268b-54de-4327-ac1e-760e915112f1;30810.1392380868;1119156745.43408;335717.737774516;784;544.307705879758;3702;1;544,3;4
4;5;05;Nordrhein-Westfalen;Land;17925570;10;5531269;1655762400000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;30856.8653604878;87829361998.0295;2648672.50917441;25605;524.312476534916;93986;7;524,3;5
5;6;06;Hessen;Land;6293154;7;1960027;1655762400000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;31145.3843335154;52359125900.6655;2148243.6201819;10289;589.322937274378;37087;4;589,3;6
6;7;07;Rheinland-Pfalz;Land;4098391;11;1204903;1655762400000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;29399.4155267274;47838767393.1633;1774430.12830596;5724;442.954320366212;18154;3;443,0;7
7;8;08;Baden-Württemberg;Land;11103043;1;3768735;1655762400000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;33943.2622209965;81517323536.8628;2544320.39805124;16239;313.130373358006;34767;3;313,1;8
8;9;09;Bayern;Freistaat;13140183;2;5039584;1655762400000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;38352.4643454357;163485540875.077;3898617.90542911;24255;408.14500072031;53631;9;408,1;9
9;10;10;Saarland;Land;983991;12;328557;1655762400000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;33390.2444229673;6060691818.01318;562678.876124348;1710;627.038255431198;6170;1;627,0;10
10;11;11;Berlin;Land;3664088;3;1079464;1655762400000;11;c7033073-2bb0-486b-97af-5b3c639e7219;29460.6461416866;2402458320.59863;363979.182407356;4635;334.107696103369;12242;0;334,1;11
11;12;12;Brandenburg;Land;2531071;4;807903;1655762400000;12;b560af89-5895-4be4-96f8-0f581cd8a858;31919.4127703253;79801970800.2686;2571385.42188057;5704;292.089791238571;7393;3;292,1;12
12;13;13;Mecklenburg-Vorpommern;Land;1610774;8;500648;1655762400000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;31081.206922883;65873523064.0757;4131181.10875485;2250;344.989427442956;5557;1;345,0;13
13;14;14;Sachsen;Freistaat;4056941;13;1535909;1655762400000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;37858.7955802167;46626497892.9951;2048279.98573376;15578;248.0933294322;10065;0;248,1;14
14;15;15;Sachsen-Anhalt;Land;2180684;14;731055;1655762400000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;33524.1144521627;54177007537.6553;1920386.52842308;5390;270.465597032858;5898;0;270,5;15
15;16;16;Thüringen;Freistaat;2120237;16;718520;1655762400000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;33888.6643332797;40685205073.9761;2015719.49965031;7345;167.103960547807;3543;1;167,1;16
